Q10304982,Jair Bolsonaro,0.001930468162650756
Q10321580,Luís Nobre Guedes,0.0017297686788251508
Q65174706,Paulo de Almeida Sande,0.0007389396791658471
Q10292842,Guilherme Silva,0.0012905065775547717
Q10347715,Pedro Queiroz Pereira,0.0020078826755551525
Q722614,João de Deus Pinheiro,0.001869446345354523
Q10310636,José Vieira de Carvalho,0.0005499401225124935
Q732154,Miguel Cadilhe,0.0012803408262316042
Q10281366,Fernando Gomes,0.0031467416905576525
Q4792848,Armando Vara,0.001823324931297247
Q5511406,Fátima Felgueiras,0.0009705465266733554
Q231084,Rosa Mota,0.0017306624722925172
Q65498266,Ana Catarina Mendes,0.001681105540728896
Q1878439,Luís Valente de Oliveira,0.0012028019112875698
Q2119928,Vasco Graça Moura,0.0007425906668077904
Q10263917,Daniel Bessa,0.0010281962092623647
Q295049,Manuel Pinto da Costa,0.002311035637357045
Q10310517,José Silveira Godinho,0.0005662535820108075
Q1442096,Francisco Louçã,0.005798379321135421
Q41395,José Luis Rodríguez Zapatero,0.0036452080730502152
Q1382767,Manuel Pinho,0.0011709105196114626
Q1382641,Luís Amado,0.0022151675920518243
Q567,Angela Merkel,0.006476287397963318
Q64688,José Lello,0.0030403998544881734
Q482868,Ana Jorge,0.0007209784782330438
Q6526652,Leonor Beleza,0.0009343494302124136
Q446042,Vital Moreira,0.0011544280521330456
Q185771,Mário Sottomayor Cardia,0.0007236710109985046
Q13576558,Miguel Poiares Maduro,0.0014697308663620045
Q729402,Rui Pereira,0.0007171887006250796
Q329,Nicolas Sarkozy,0.0028380415952532147
Q365986,António Correia de Campos,0.002448242528762936
Q10347660,Pedro Nuno Santos,0.0013555221644760286
Q993533,Isaltino Morais,0.0009677346213289584
Q612666,Catarina Martins,0.003731355685908226
Q16495518,Avelino Ferreira Torres,0.0012701837992299754
Q769747,Augusto Santos Silva,0.0031141039234945404
Q103998211,José Silvano,0.0005517424188219092
Q3179729,Joaquim Magalhães Mota,0.0007486189662245746
