Q11860,Q38484,1
Q11860,Q15849,1
Q11860,Q294460,1
Q57398,Q156781,5
Q57398,Q266197,1
Q57398,Q182367,11
Q57398,Q1688029,5
Q57398,Q610788,4
Q57398,Q57615,4
Q57398,Q58161,1
Q57398,Q239248,1
Q57398,Q737410,2
Q57398,Q311440,1
Q57398,Q550243,1
Q57398,Q784504,1
Q57398,Q524996,3
Q57398,Q23836571,1
Q57398,Q9619510,1
Q57398,Q10310607,1
Q57398,Q60114,2
Q57398,Q76,13
Q57398,Q9629375,1
Q57398,Q5716738,1
Q57398,Q15849,6
Q57398,Q2066785,1
Q57398,Q481124,3
Q57398,Q57313,1
Q57398,Q3540630,1
Q57398,Q59336865,2
Q57398,Q444059,1
Q57398,Q736289,1
Q57398,Q10325930,1
Q57398,Q10300977,1
Q57398,Q5290424,2
Q57398,Q40722,2
Q57398,Q529992,2
Q57398,Q312831,2
Q57398,Q39659,1
Q57398,Q3060511,1
Q57398,Q7378729,1
Q57398,Q2857756,2
Q57398,Q10303811,1
Q57398,Q37181,1
Q57398,Q156780,1
Q57398,Q156780,2
Q57398,Q438868,1
Q57398,Q586749,1
Q57398,Q6756617,1
Q57398,Q2118027,1
Q57398,Q64685,2
Q57398,Q527722,1
Q57398,Q368644,1
Q156781,Q57398,9
Q156781,Q737410,1
Q156781,Q182367,4
Q156781,Q610788,5
Q156781,Q610788,1
Q156781,Q58161,1
Q156781,Q1580316,2
Q156781,Q925136,1
Q156781,Q57615,5
Q156781,Q3069519,3
Q156781,Q3069519,2
Q156781,Q156780,1
Q156781,Q275677,1
Q156781,Q10357633,1
Q156781,Q9619601,1
Q156781,Q7155277,2
Q156781,Q250919,1
Q156781,Q4007647,1
Q156781,Q6752494,2
Q156781,Q40722,1
Q156781,Q311440,3
Q156781,Q4777638,2
Q156781,Q10312177,1
Q156781,Q10334395,1
Q156781,Q157,1
Q156781,Q65031560,1
Q156781,Q37181,1
Q156781,Q2571494,1
Q156781,Q6293647,1
Q156781,Q19409554,1
Q156781,Q550243,1
Q439377,Q610788,5
Q439377,Q20017756,2
Q439377,Q10338219,5
Q439377,Q25440961,6
Q439377,Q21568721,1
Q439377,Q58161,3
Q439377,Q57615,1
