Q9619875,António Nogueira Leite
Q367010,Francisco Sá Carneiro
Q2066785,Pedro Silva Pereira
Q10281394,Fernando José Pinto Monteiro
Q3129652,Helena André
Q586749,Fernando Teixeira dos Santos
Q42851646,Hugo Soares
Q611182,Marinho Pinto
Q10321568,Luís Mira Amaral
Q17420856,Carlos Pimenta
Q456034,Isabel dos Santos
Q329,Nicolas Sarkozy
Q611579,António de Almeida Santos
Q266197,Defensor Moura
Q3052772,Emmanuel Macron
Q20017756,Fernando Medina
Q28973799,Mariana Vieira da Silva
Q10389774,José Vera Jardim
Q9697042,Carlos Encarnação
Q8273607,Carlos Candal
Q1318666,Fernando Ulrich
Q4777532,António Borges
Q2119928,Vasco Graça Moura
Q10347430,Pedro Duarte
Q10310141,José Miguel Júdice
Q482868,Ana Jorge
Q25419872,Maria Teresa Ambrósio
Q9618827,António Capucho
Q9212694,Duarte Marques
Q1708982,José Pinto Ribeiro
Q10284869,Francisco José Viegas
Q10338225,Nuno Morais Sarmento
Q10281337,Fernando Faria de Oliveira
Q10309512,José Gomes Ferreira
Q17496480,Pedro Soares
Q6761173,Maria Elisa Domingues
Q8077028,Ângelo Correia
Q1709692,José Vieira da Silva
Q264766,Theresa May
Q438868,Diogo Freitas do Amaral
Q10819,Mariano Rajoy
Q17024746,José Inácio Faria
Q28555817,Filipe Anacoreta Correia
Q66688384,Sara Madruga da Costa
Q10319949,Loureiro dos Santos
Q16545093,Fernando de Carvalho Ruas
Q365986,António Correia de Campos
Q22807807,Rubina Berardo
Q523997,Luís Filipe Vieira
Q7925828,Vítor Crespo
Q2469453,Paulo Macedo
Q4777527,António Arnaut
Q66741757,Rui Caetano
Q10309911,José Manuel de Sousa Rodrigues
Q10335529,Narciso Miranda
Q16336787,Arménio Carlos
Q85875924,Nelson de Souza
Q10287923,Gabriela Canavilhas
Q65497966,Luísa Mesquita
Q61880600,Jose Diamantino Duarte Ribeiro
Q17318300,Miguel Pinto Luz
Q2857756,António Barreto
Q3041550,Miguel Portas
Q6706856,Luís Queiró
Q10263917,Daniel Bessa
Q65498002,Sérgio Vieira
Q16337641,João Ribeiro
Q16495518,Avelino Ferreira Torres
Q11764395,Luís Marques Guedes
Q10304982,Jair Bolsonaro
Q10395752,Álvaro Augusto Matos Almeida
Q10311770,João Luís César das Neves
Q16940875,Telmo Correia
Q3186473,José Menéres Pimentel
Q3119570,Guilherme d'Oliveira Martins
Q57313,José Eduardo dos Santos
Q11794196,Nuno Magalhães
Q2868303,Assunção Esteves
Q16336739,António Mexia
Q21582227,José Alberto Azeredo Lopes
Q10310607,José Veiga Simão
Q16336375,Alfredo Barroso
Q5041962,Carlos Cruz "O Pedófilo"
Q2907553,Boaventura de Sousa Santos
Q202794,Luís Campos e Cunha
Q23836571,Marcos Perestrello
Q3069515,Fernando Nogueira
Q10334426,Mário Campos Pinto
Q17725191,Jorge Barreto Xavier
Q65497945,António Braga
Q10322008,Lídia Bulcão
Q1337232,Rui Tavares
Q85876514,Pedro Calado
Q16491519,António Leitão Amaro
Q715046,Orlando Smith
Q11728715,João Ferreira
Q4777608,António Abreu
Q61195608,Pedro Bacelar de Vasconcelos
Q10389340,Vasco Rato
Q16493646,Arlindo de Carvalho
Q10310225,José Oliveira Costa
Q505685,Sérgio Marques
Q3154816,Isabel Alçada
Q275677,Maria de Lurdes Rodrigues
Q10347467,Pedro Filipe Soares
Q56352307,Rubina Leal
Q10308689,José Adriano Gago Vitorino
Q21290312,João Calvão da Silva
Q10326209,Mariana Aiveca
Q7155277,Paulo Pedroso
Q59336865,Francisco Spínola
Q10270621,Eduardo Azevedo Soares
Q10395757,Álvaro Barreto
Q9207629,Diogo Feio
Q10312177,João Rosado Correia
Q2831797,Alberto Martins
Q18697787,Paulo de Morais
Q30934991,Teresa Leal Coelho
Q65164957,Pedro dos Santos Soares
Q10334548,Mário Tomé
Q23797153,Constança Urbano de Sousa
Q64578215,Ruben de Carvalho
Q2857763,António Serrano
Q10347320,Pedro Arroja
Q463533,Michel Temer
Q231084,Rosa Mota
Q85871588,Emanuel Câmara
Q10310733,José de Almeida Serra
Q1878439,Luís Valente de Oliveira
Q59572077,Humberto Vasconcelos
Q3179732,Joaquim Pina Moura
Q28973801,Margarida Marques
Q9602307,Alexandre Relvas
Q9697337,Carlos Santos Ferreira
Q100319459,José Tavares
Q11728710,João Gouveia
Q10308054,Jorge Bacelar Gouveia
Q3116195,Ilda Figueiredo
Q24286982,Osvaldo de Castro
Q1262756,Duarte Pio de Bragança
Q4685594,Adriano Moreira
Q1518240,Ana Drago
Q19360799,Joana Marques Vidal
Q10263990,Daniel Proença de Carvalho
Q3321239,Jamila Madeira
Q10309299,José Eduardo Martins
Q590298,António Cardoso e Cunha
Q60114,António Ramalho Eanes
Q28677402,Manuel Castro Almeida
Q10309167,José Castelo Branco
Q16491101,Marques Júnior
Q16337119,Celeste Cardona
Q185771,Mário Sottomayor Cardia
Q10329879,Miguel Veiga
Q4777535,Barbosa de Melo
Q16493915,Arnaldo Matos
Q9604772,Almerindo da Silva Marques
Q9184746,Carlos da Costa Neves
Q16537126,Cláudia Monteiro de Aguiar
Q17270451,Liliana Rodrigues
Q10261183,Costa Martins
Q3081949,Francisco Seixas da Costa
Q6291307,José Silva Peneda
Q3018178,David Justino
Q4287613,José Medeiros Ferreira
Q11728720,João Ramos
Q16336402,Almeida Henriques
Q42305316,Pedro Siza Vieira
Q10394994,Zeinal Bava
Q41395,José Luis Rodríguez Zapatero
Q17492584,Hélder Bataglia
Q10307287,Joaquim Manuel Cabrita Neto
Q16492084,António Mendonça
Q5484146,Francisco de Oliveira Dias
Q10272593,Emídio Rangel
Q10310185,José Narciso da Cunha Rodrigues
Q9629375,Armando Sevinate Pinto
Q65497451,Laurentino Dias
Q16485477,Adolfo Mesquita Nunes
Q43370959,Isabel C. F. R. Ferreira
Q6205661,Joana Amaral Dias
Q10325927,Maria José Morgado
Q16336736,António Martins da Cruz
